,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
294,Carnot,CF,1513781250,4.94,15.87,89.71,40,10.87,8
295,Yulara,AU,1513778400,-25.24,130.99,78.8,26,10.29,0
296,Buala,SB,1513781251,-8.14,159.59,79.36,100,9.31,80
297,Murgab,TM,1513778400,37.5,61.97,46.4,70,5.73,40
298,Maceio,BR,1513778400,-9.67,-35.74,80.6,69,11.41,75
299,Bluff,NZ,1513781252,-46.6,168.33,62.94,86,16.35,92
300,San Ramon de la Nueva Oran,AR,1513781252,-23.13,-64.33,84.0,95,3.94,0
301,Okha,RU,1513781253,53.57,142.95,-14.78,88,9.64,0
302,Yamasaki,JP,1513781253,35.0,134.55,27.75,83,5.17,0
303,Rafaela,AR,1513781147,-31.25,-61.49,81.16,79,7.18,36
304,Chokurdakh,RU,1513781254,70.63,147.92,-11.9,76,13.22,64
305,Rikitea,PF,1513781254,-23.12,-134.97,77.11,100,11.65,92
306,Kotturu,IN,1513781255,14.82,76.22,67.57,58,7.52,0
307,Hovd,MN,1513781255,48.01,91.64,-15.68,59,1.48,0
308,Coihaique,CL,1513778400,-45.58,-72.07,55.4,58,11.41,75
309,Faanui,PF,1513781256,-16.48,-151.75,81.7,100,7.96,56
310,Yichun,CN,1513781257,47.7,128.9,4.75,75,8.41,64
311,Bintulu,MY,1513778400,3.17,113.03,77.0,94,4.7,90
312,Tambovka,RU,1513778400,50.1,128.05,-0.41,77,2.24,0
313,Strezhevoy,RU,1513778400,60.73,77.59,15.8,100,4.47,88
314,Blenheim,CA,1513781258,42.33,-82.0,25.95,78,9.19,0
315,Darhan,MN,1513781259,49.49,105.92,9.75,56,4.16,44
316,Kodinsk,RU,1513781259,58.69,99.18,12.22,72,6.62,80
317,Tuatapere,NZ,1513781260,-46.13,167.68,62.17,87,8.97,88
318,Pokhara,NP,1513781260,28.23,83.98,45.07,84,1.81,76
319,Channel-Port aux Basques,CA,1513781261,47.57,-59.14,36.39,100,30.89,88
320,Port Blair,IN,1513781261,11.67,92.75,79.9,100,21.72,0
321,Sfantu Gheorghe,RO,1513780200,44.65,26.83,35.6,74,3.36,20
322,Gemena,CD,1513781262,3.25,19.77,91.29,35,4.38,48
323,Blumenau,BR,1513778400,-26.92,-49.07,78.8,78,4.7,75
324,Tondano,ID,1513781262,1.3,124.91,71.8,100,1.7,8
325,San Rafael,AR,1513781263,-34.62,-68.33,91.02,33,5.5,0
326,Port Hedland,AU,1513778400,-20.32,118.57,80.6,83,10.29,12
327,Jingdezhen,CN,1513781264,29.29,117.21,26.85,70,3.04,0
328,Caconda,AO,1513781264,-13.73,15.07,70.05,83,7.29,80
329,Kahului,US,1513778520,20.89,-156.47,69.8,100,13.87,90
330,Yeppoon,AU,1513778400,-23.13,150.73,73.4,78,4.7,0
331,Novobirilyussy,RU,1513781265,56.95,90.67,4.84,77,6.73,92
332,Ewa Beach,US,1513779660,21.32,-158.01,71.6,93,9.17,40
333,Hualmay,PE,1513781265,-11.1,-77.61,70.95,76,4.05,20
334,Roald,NO,1513779600,62.58,6.13,42.8,93,5.82,75
335,Divnomorskoye,RU,1513781266,44.5,38.14,39.45,100,8.97,92
336,Sinop,TR,1513781266,41.77,34.87,41.97,100,6.73,92
337,Bonavista,CA,1513781267,48.65,-53.11,39.0,93,30.33,92
338,Weyburn,CA,1513781060,49.67,-103.85,8.85,67,9.75,88
339,Khatanga,RU,1513781267,71.97,102.5,-11.05,73,12.55,88
340,Romanovskaya,RU,1513781268,47.54,42.03,41.47,96,8.19,92
341,Mar del Plata,AR,1513778400,-38.0,-57.56,73.4,64,9.17,75
342,Redmond,US,1513779840,47.67,-122.12,41.0,80,5.82,90
343,Huarmey,PE,1513781247,-10.07,-78.15,70.95,75,3.38,24
344,Wa,GH,1513781269,10.06,-2.5,93.63,27,8.97,0
345,Polewali,ID,1513781269,-3.43,119.34,77.02,100,5.5,92
346,Chifeng,CN,1513781270,42.27,118.96,12.9,66,4.83,0
347,Kamenka,RU,1513781270,51.32,42.77,25.45,95,7.07,64
348,Nova Vicosa,BR,1513781271,-17.89,-39.37,82.06,91,6.62,8
349,Thompson,CA,1513778400,55.74,-97.86,-27.41,67,3.36,20
350,Kharp,RU,1513781271,66.8,65.81,2.55,57,3.94,12
351,Mareeba,AU,1513778400,-17.0,145.43,75.2,83,3.36,20
352,Terskaya,RU,1513781272,43.72,44.72,42.01,95,3.71,92
353,Lumberton,US,1513780500,34.62,-79.01,59.0,87,4.05,90
354,Puerto Madryn,AR,1513781273,-42.77,-65.04,74.14,60,9.75,20
355,New Amsterdam,GY,1513781273,6.25,-57.52,82.15,81,7.18,92
356,Kieta,PG,1513781274,-6.22,155.63,79.45,99,4.38,48
357,Altay,CN,1513781274,47.87,88.12,-6.19,47,2.04,12
358,Urucara,BR,1513781274,-2.54,-57.76,85.44,71,4.5,32
359,Puro,PH,1513781275,12.48,123.38,80.22,100,14.45,88
360,Atchison,US,1513778040,39.56,-95.12,35.6,63,5.82,1
361,Mnogovershinnyy,RU,1513781275,53.94,139.92,-17.35,49,2.82,20
362,Kuito,AO,1513778400,-12.38,16.93,77.0,73,11.41,40
363,Venice,US,1513777980,27.1,-82.45,68.0,100,5.82,1
364,Uchiza,PE,1513781276,-8.46,-76.46,69.33,100,1.03,88
365,Kapaa,US,1513778160,22.08,-159.32,66.2,93,10.29,1
366,Dudinka,RU,1513781277,69.41,86.18,-6.91,75,4.38,36
367,Saint-Philippe,RE,1513778400,-21.36,55.77,84.2,54,6.93,90
368,San Clemente,CL,1513778400,-35.55,-71.48,73.4,46,10.29,0
369,Belmonte,BR,1513778400,-15.86,-38.88,80.6,74,8.05,20
370,Birjand,IR,1513778400,32.87,59.22,50.0,27,4.7,0
371,Codajas,BR,1513781278,-3.84,-62.06,84.4,82,2.15,44
372,Muscat,OM,1513777800,23.61,58.59,73.4,73,6.93,20
373,Barsovo,RU,1513778400,61.17,73.17,17.6,100,4.47,75
374,Karabanovo,RU,1513781279,56.32,38.7,24.78,83,2.93,76
375,Puerto Escondido,MX,1513777260,15.85,-97.07,75.2,83,8.05,5
376,We,NC,1513781280,-20.92,167.26,76.21,88,10.87,92
377,Guerrero Negro,MX,1513781280,27.98,-114.06,45.75,95,2.71,0
378,Port Hawkesbury,CA,1513780260,45.62,-61.35,33.8,74,16.11,90
379,Fare,PF,1513781281,-16.7,-151.02,81.25,100,7.18,92
380,Richards Bay,ZA,1513781281,-28.78,32.04,75.76,72,5.73,20
381,Hilo,US,1513780980,19.73,-155.09,69.8,88,3.36,75
382,Tessalit,ML,1513781282,20.2,1.01,66.04,40,12.44,0
383,Lipari,IT,1513778100,38.47,14.95,53.6,37,9.17,40
384,Fairbanks,US,1513779960,64.84,-147.72,28.4,100,6.93,40
385,Victoria,SC,1513778400,-4.62,55.45,78.8,94,12.75,75
386,Beringovskiy,RU,1513781283,63.05,179.32,7.5,100,3.04,0
387,Sambava,MG,1513781283,-14.27,50.17,79.9,100,7.63,92
388,Caucaia,BR,1513778400,-3.74,-38.65,82.4,69,19.46,90
389,Mahebourg,MU,1513778400,-20.41,57.7,80.6,69,5.82,75
390,Hamilton,BM,1513778100,32.29,-64.78,71.6,68,14.99,40
391,Kayes,ML,1513781285,14.44,-11.43,85.8,28,11.65,20
392,Niamey,NE,1513778400,13.51,2.11,95.0,8,3.36,0
393,Huari,PE,1513781285,-9.33,-77.23,50.2,88,2.15,24
394,Lithakia,GR,1513779600,37.72,20.83,51.8,53,3.36,40
395,Dwarka,IN,1513781286,22.24,68.97,73.6,93,16.46,36
396,Klimovo,RU,1513781286,52.38,32.19,27.39,90,6.96,80
397,Wajima,JP,1513781287,37.4,136.9,44.62,98,7.52,88
398,Zhaodong,CN,1513778400,46.08,125.98,12.2,66,15.66,0
399,Adamas,GR,1513777800,36.73,24.43,53.6,54,19.46,20
400,Ambon,ID,1513781288,-3.7,128.18,82.96,100,7.63,92
401,Inhambane,MZ,1513781288,-23.86,35.38,76.98,94,16.24,92
402,Pimentel,PE,1513778400,-6.84,-79.93,69.8,83,10.29,0
403,Ucluelet,CA,1513781289,48.93,-125.55,28.87,61,2.59,0
404,Kavieng,PG,1513781290,-2.57,150.8,84.54,100,8.86,68
405,Mazyr,BY,1513781290,52.05,29.25,28.69,89,9.86,80
406,Barrow,US,1513777980,71.29,-156.79,1.4,91,10.29,1
407,Lebu,CL,1513781291,-37.62,-73.65,57.63,90,7.96,68
408,Kriel,ZA,1513781291,-26.27,29.23,61.54,98,4.94,76
409,Paamiut,GL,1513781292,61.99,-49.67,25.99,100,14.9,48
410,Aspindza,GE,1513781292,41.57,43.25,34.05,98,3.15,88
411,Nanortalik,GL,1513781292,60.14,-45.24,29.73,100,6.51,88
412,Seoul,KR,1513778400,37.57,126.98,32.0,79,8.05,40
413,Brae,GB,1513779600,60.4,-1.35,48.2,87,20.8,20
414,Villa Maria,AR,1513781145,-32.41,-63.24,80.71,67,12.44,44
415,Ryotsu,JP,1513781293,38.08,138.43,41.92,100,9.64,92
416,Bethel,US,1513778160,41.37,-73.41,42.8,48,5.82,90
417,Havre-Saint-Pierre,CA,1513778520,50.23,-63.6,23.0,92,6.93,90
418,Kerrobert,CA,1513778400,51.92,-109.13,5.0,84,9.17,75
419,Sao Miguel do Tapuio,BR,1513781295,-5.5,-41.32,88.77,54,5.28,68
420,Marawi,SD,1513781296,18.48,31.82,88.59,21,4.61,0
421,Ust-Maya,RU,1513781296,60.42,134.53,-41.96,0,2.71,32
422,Salmas,IR,1513778400,38.2,44.77,46.4,61,6.93,75
423,Kalininsk,RU,1513781297,51.5,44.48,19.87,93,6.06,92
424,Kyabe,TD,1513781297,9.45,18.94,98.49,17,6.17,0
425,Kiama,AU,1513779060,-34.68,150.87,66.2,88,3.36,40
426,Fernie,CA,1513778400,49.5,-115.07,23.0,62,4.7,75
427,Abha,SA,1513778400,18.22,42.51,64.4,16,8.05,0
428,Merauke,ID,1513781298,-8.47,140.33,84.0,84,8.97,36
429,Whyalla,AU,1513778400,-33.03,137.58,64.4,68,12.75,75
430,Mwinilunga,ZM,1513781299,-11.74,24.43,67.35,85,5.84,92
431,Saint-Francois,GP,1513778400,16.25,-61.27,82.4,65,13.87,75
432,Cap Malheureux,MU,1513778400,-19.98,57.61,80.6,69,5.82,75
433,Hasaki,JP,1513778400,35.73,140.83,35.6,80,9.17,20
434,Margate,ZA,1513781301,-30.86,30.37,73.02,85,5.06,0
435,Husavik,IS,1513778400,66.04,-17.34,35.6,64,20.8,40
436,Bengkulu,ID,1513781302,-3.8,102.27,76.53,100,5.28,64
437,Quatre Cocos,MU,1513778400,-20.21,57.76,80.6,69,5.82,75
438,Nishihara,JP,1513778400,26.18,127.76,62.6,62,8.05,20
439,Arcata,US,1513780500,40.87,-124.08,42.8,23,5.82,75
440,Mookane,BW,1513781303,-23.69,26.66,89.04,35,15.12,24
441,Rubtsovsk,RU,1513781304,51.5,81.25,-20.36,59,2.82,0
442,Pacific Grove,US,1513780800,36.62,-121.92,50.0,100,9.75,90
443,Kungurtug,RU,1513781305,50.6,97.52,-12.26,47,2.82,0
444,Namatanai,PG,1513781305,-3.67,152.43,83.73,99,9.64,76
445,Gazanjyk,TM,1513781306,39.24,55.52,28.15,86,3.38,24
446,Erzin,RU,1513781306,50.26,95.16,-22.21,55,1.7,0
447,Boende,CD,1513781306,-0.22,20.87,84.99,68,3.15,24
448,Aklavik,CA,1513778400,68.22,-135.01,14.0,84,2.24,90
449,Bandar,ID,1513781307,2.05,99.75,68.07,98,2.26,92
450,Longyearbyen,SJ,1513777800,78.22,15.64,35.6,80,17.22,75
451,Dingle,IE,1513781308,52.14,-10.27,52.32,94,8.63,100
452,Kutum,SD,1513781308,14.2,24.67,84.4,21,4.16,8
453,Vila Praia de Ancora,PT,1513780200,41.81,-8.85,60.8,71,1.12,0
454,Portland,AU,1513781309,-38.33,141.6,61.81,100,10.98,76
455,Aitape,PG,1513781309,-3.14,142.35,80.4,100,5.61,64
456,Mount Pleasant,US,1513780500,32.79,-79.86,62.6,100,5.82,90
457,Kununurra,AU,1513778400,-15.77,128.73,75.2,94,3.36,56
458,Vestmannaeyjar,IS,1513778400,63.44,-20.27,37.4,69,32.21,40
459,Palmer,US,1513778160,42.16,-72.33,41.0,47,14.99,75
460,Egvekinot,RU,1513781311,66.32,-179.17,9.3,78,3.15,68
461,Kysyl-Syr,RU,1513781311,63.9,122.76,-32.11,54,5.61,68
462,Vanimo,PG,1513781312,-2.67,141.3,80.58,100,6.85,24
463,Atuona,PF,1513781312,-9.8,-139.03,79.5,100,11.65,0
464,Yuci,CN,1513778400,37.68,112.73,24.8,58,2.24,0
465,Sale,AU,1513781313,-38.1,147.07,59.74,88,6.29,0
466,Polyarnyye Zori,RU,1513781313,67.37,32.5,30.99,90,4.61,80
467,Muroto,JP,1513781314,33.28,134.15,53.94,100,5.95,8
468,Cherskiy,RU,1513781314,68.75,161.3,-4.43,78,8.75,68
469,Surany,SK,1513780200,48.09,18.18,30.2,86,1.12,75
470,Lodja,CD,1513781315,-3.48,23.43,78.1,80,3.38,92
471,Necochea,AR,1513781315,-38.55,-58.74,75.76,70,15.79,20
472,Carmo do Cajuru,BR,1513781315,-20.18,-44.77,84.72,58,8.41,0
473,Golubitskaya,RU,1513778400,45.32,37.28,37.4,86,6.71,40
474,Hambantota,LK,1513781316,6.12,81.12,76.53,100,7.96,88
475,Adrar,DZ,1513778400,27.87,-0.29,57.2,28,20.8,20
476,Puerto Leguizamo,CO,1513781034,-0.19,-74.78,77.34,92,3.04,48
477,Kinwat,IN,1513781317,19.63,78.2,60.42,67,5.17,0
478,Ballina,IE,1513778400,54.12,-9.17,48.2,100,4.7,75
479,Ilek,RU,1513781318,51.53,53.38,-7.58,47,2.93,0
480,Berdigestyakh,RU,1513781318,62.1,126.7,-32.11,53,4.61,68
481,Asyut,EG,1513778400,27.18,31.18,77.0,44,13.87,0
482,Guia de Isora,ES,1513780200,28.21,-16.78,71.6,53,25.28,20
483,Placido de Castro,BR,1513781319,-10.34,-67.19,80.62,82,3.04,20
484,Boyolangu,ID,1513781319,-8.12,111.89,79.9,100,4.16,80
485,Comodoro Rivadavia,AR,1513778400,-45.87,-67.5,80.6,34,26.4,40
486,Egana,PH,1513781320,10.75,122.01,82.02,96,10.98,12
487,Hanover,CA,1513778400,44.15,-81.03,26.6,63,4.7,90
488,Kirakira,SB,1513781321,-10.45,161.92,80.85,100,11.65,64
489,Narsaq,GL,1513777800,60.92,-46.05,17.6,67,8.05,75
490,Avarua,CK,1513778400,-21.21,-159.78,78.8,94,2.24,75
491,Lokosovo,RU,1513781322,61.13,74.82,14.56,90,3.15,68
492,Abu Dhabi,AE,1513778400,24.47,54.37,73.4,69,6.93,0
493,Pangnirtung,CA,1513778400,66.15,-65.71,-0.41,64,6.93,90
494,Ovre Ardal,NO,1513777800,61.32,7.8,41.0,100,17.22,75
495,Barcelos,BR,1513781324,-0.97,-62.92,81.84,86,3.6,68
496,East London,ZA,1513778400,-33.02,27.91,73.4,64,10.29,20
497,Mitchell,US,1513777980,43.71,-98.03,28.4,58,12.75,1
498,Bundaberg,AU,1513781325,-24.85,152.35,76.84,100,9.98,8
499,Srednekolymsk,RU,1513781325,67.45,153.68,-24.86,37,7.18,80
500,Port Alfred,ZA,1513781325,-33.59,26.89,72.93,78,9.42,0
501,Sitka,US,1513780380,57.05,-135.33,35.6,100,6.93,90
502,Maragogi,BR,1513781326,-9.01,-35.22,79.0,86,9.64,92
503,Arawa,PG,1513781326,-6.21,155.54,79.45,99,4.38,48
504,Bredasdorp,ZA,1513778400,-34.53,20.04,77.0,50,14.99,0
505,Lagoa,PT,1513781327,39.05,-27.98,67.21,95,22.06,92
506,Oktyabrskiy,RU,1513781327,54.48,53.47,-1.1,79,6.4,0
507,Juneau,US,1513778160,58.3,-134.42,32.0,100,16.11,90
508,Sladkovo,RU,1513781328,55.53,70.34,3.67,82,11.54,68
509,Dzhebariki-Khaya,RU,1513781328,62.22,135.8,-55.46,0,2.59,12
510,Warrington,US,1513780500,30.38,-87.28,73.4,94,8.05,90
511,Niquero,CU,1513781329,20.04,-77.58,79.9,96,9.53,0
512,Brenham,US,1513779300,30.17,-96.4,59.0,82,8.75,1
513,Santa Maria,CV,1513778400,16.6,-22.9,80.6,51,24.16,40
514,Salym,RU,1513781330,60.06,71.48,16.05,84,3.15,76
515,Salalah,OM,1513777800,17.02,54.09,80.6,28,17.22,0
516,Fortuna,US,1513780500,40.6,-124.16,42.8,23,5.82,75
517,Camargo,BO,1513781331,-20.65,-65.22,57.49,94,2.82,100
518,Havelock,US,1513779660,34.88,-76.9,60.8,100,6.93,90
519,New Norfolk,AU,1513778400,-42.78,147.06,55.4,50,9.17,40
520,Leiva,CO,1513778400,1.93,-77.3,66.2,77,1.92,40
521,Fort Abbas,PK,1513781332,29.19,72.85,57.94,89,1.92,0
522,Billings,US,1513777980,45.78,-108.5,23.0,92,4.7,40
523,Vardo,NO,1513777800,70.37,31.11,37.4,69,19.46,0
524,Dunedin,NZ,1513781106,-45.87,170.5,49.12,84,3.27,92
525,Banda Aceh,ID,1513781333,5.56,95.32,73.06,100,3.83,68
526,Mantamados,GR,1513779600,39.31,26.33,50.0,66,3.36,40
527,Vila Franca do Campo,PT,1513780200,37.72,-25.43,66.2,72,16.11,20
528,Basoko,CD,1513781334,1.24,23.62,90.39,50,5.61,36
529,Flinders,AU,1513779060,-34.58,150.86,66.2,88,3.36,40
530,Manta,EC,1513781335,-0.95,-80.73,74.86,98,10.2,56
531,Upernavik,GL,1513781336,72.79,-56.15,15.42,100,9.98,48
532,Agdam,AZ,1513781336,39.99,46.93,34.5,99,0.58,68
533,Biltine,TD,1513781336,14.53,20.92,93.85,18,4.27,0
534,Catuday,PH,1513781337,16.29,119.81,80.8,89,4.72,48
535,Pisco,PE,1513778400,-13.7,-76.22,66.2,93,6.93,75
536,Robertsport,LR,1513781337,6.75,-11.37,82.6,100,8.41,0
537,Carnarvon,AU,1513781337,-24.87,113.63,78.33,80,19.48,0
538,Nadym,RU,1513781338,65.53,72.52,14.88,89,5.17,68
539,Shirokiy,RU,1513781338,49.76,129.52,0.7,72,7.18,80
540,Burnie,AU,1513781339,-41.07,145.92,58.89,100,15.9,12
541,Georgetown,SH,1513777800,-7.93,-14.42,78.8,74,18.34,75
542,Port Macquarie,AU,1513778400,-31.43,152.92,73.4,73,8.05,75
543,Kropotkin,RU,1513781340,45.44,40.58,40.44,100,6.62,92
544,Say,NE,1513778400,13.1,2.37,95.0,8,3.36,0
545,Kendal,GB,1513779600,54.33,-2.75,50.0,100,9.17,90
546,La Ronge,CA,1513778400,55.1,-105.28,-14.81,68,3.49,90
547,Esperance,AU,1513781341,-33.87,121.9,58.53,79,9.42,0
548,Pitimbu,BR,1513778400,-7.47,-34.81,86.0,62,16.11,75
549,Kishanpur,IN,1513781342,25.65,81.02,59.7,90,2.82,56
550,Makakilo City,US,1513779660,21.35,-158.09,71.6,93,9.17,40
551,Tshikapa,CD,1513781343,-6.42,20.8,77.34,84,2.48,68
552,Haradok,BY,1513778400,55.46,29.98,30.2,92,6.71,75
553,Sao Domingos,BR,1513781343,-13.4,-46.32,87.01,50,8.3,8
554,Launceston,AU,1513778400,-41.45,147.17,42.8,75,8.05,0
555,Tarakan,ID,1513781344,3.3,117.63,79.9,100,5.73,92
556,Luanda,AO,1513778400,-8.84,13.23,84.2,66,9.17,40
557,Jishou,CN,1513781344,28.32,109.72,28.24,76,1.92,0
558,Cassilandia,BR,1513781345,-19.11,-51.73,78.42,90,7.18,24
559,Sept-Iles,CA,1513778400,50.2,-66.38,21.2,79,6.93,75
560,Igarassu,BR,1513778400,-7.83,-34.91,84.2,66,11.41,75
561,San Carlos de Bariloche,AR,1513778400,-41.15,-71.31,59.0,67,26.4,75
562,Carcassonne,FR,1513780200,43.22,2.35,51.8,70,16.11,75
563,Lyuban,BY,1513781346,52.8,28.0,28.6,92,9.98,56
564,Plyussa,RU,1513781350,58.43,29.37,20.5,87,3.71,76
565,Lavrentiya,RU,1513781350,65.58,-171.0,30.09,94,25.75,20
566,Almaznyy,RU,1513781351,48.04,40.05,33.01,100,3.15,80
567,Praia da Vitoria,PT,1513778400,38.73,-27.07,66.2,88,22.17,20
568,Kabala,SL,1513781351,9.58,-11.55,89.62,46,3.15,24
569,Descalvado,BR,1513778400,-21.9,-47.62,84.2,48,9.17,0
570,Kyra,RU,1513781352,49.58,111.98,17.13,48,5.73,12
571,Pacifica,US,1513780500,37.61,-122.49,48.2,75,6.93,75
572,Alofi,NU,1513778400,-19.06,-169.92,75.2,100,3.36,76
573,Cayenne,GF,1513778400,4.93,-52.33,84.2,79,11.41,92
574,Santa Cruz del Sur,CU,1513781353,20.71,-78.0,80.35,81,10.54,0
575,Alyangula,AU,1513781353,-13.85,136.42,85.89,97,9.86,0
576,Netarhat,IN,1513781354,23.48,84.27,49.44,86,2.59,8
577,Planadas,CO,1513778400,3.2,-75.65,80.6,69,3.36,75
578,Doha,QA,1513778400,25.29,51.53,71.6,60,4.7,0
579,Kulhudhuffushi,MV,1513781354,6.62,73.07,82.87,100,10.09,20
580,Castro,CL,1513781355,-42.47,-73.77,57.04,77,9.98,64
581,Leme,BR,1513778400,-22.19,-47.39,84.2,48,9.17,0
582,Tual,ID,1513781356,-5.67,132.75,83.05,100,9.64,80
583,Oksfjord,NO,1513779600,70.24,22.35,39.2,80,21.92,75
584,Moron,MN,1513781357,47.38,110.32,2.55,75,7.18,20
585,Albany,AU,1513781357,-35.02,117.89,56.77,83,7.96,0
586,Tepusteca,HN,1513778400,15.42,-86.32,73.4,88,2.15,20
587,Klyuchi,RU,1513781358,52.27,79.17,-20.18,59,3.04,12
