Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Country,City Name,Lat,Lon
24.68,68,1.86,0,AO,Camabatela,-8.19,15.37
26.0,88,2.1,40,GY,Georgetown,6.8,-58.16
16.88,53,7.31,68,RU,Nikolsk,59.53,45.45
9.66,81,5.7,75,NO,Bud,62.91,6.91
23.43,98,1.91,64,BR,Oriximina,-1.77,-55.87
16.53,47,5.86,0,ZA,Hermanus,-34.42,19.24
25.93,87,2.86,0,CG,Djambala,-2.55,14.76
18.38,79,6.46,56,RU,Kharp,66.82,65.8
25.78,61,1.41,0,AO,Uige,-7.61,15.06
23.18,24,3.41,0,NA,Gobabis,-22.45,18.97
32.33,61,2.41,32,TD,Biltine,14.53,20.93
27.68,51,5.31,0,BR,Apodi,-5.66,-37.8
22.78,44,1.76,0,ZA,Duiwelskloof,-23.69,30.14
36.58,10,1.76,80,IR,Darab,28.75,54.55
37.78,7,1.86,0,IR,Ravar,31.27,56.81
16.43,95,9.56,100,UY,Chuy,-33.69,-53.46
12.72,62,4.1,1,CA,Saint-Philippe,45.36,-73.48
36.58,35,4.81,36,YE,Sabya,16.19,43.1
20.43,48,8.41,0,RU,Shuyskoye,59.37,41.03
25.0,83,2.6,90,IN,Ponnani,10.77,75.93
29.13,57,9.96,12,SO,Hobyo,5.35,48.53
16.73,95,2.61,12,NA,Henties Bay,-22.12,14.28
26.98,27,4.46,0,ZM,Zambezi,-13.55,23.12
9.0,100,3.6,90,SE,Ludvika,60.15,15.18
29.0,70,6.2,40,CI,Jackville,5.21,-4.42
29.08,95,9.61,92,MV,Kulhudhuffushi,6.62,73.07
27.78,15,3.71,88,YE,Sayyan,15.17,44.32
25.63,87,1.31,8,BR,Tucurui,-3.77,-49.67
32.0,25,7.2,90,UZ,Gurlan,41.84,60.39
23.0,56,2.6,75,TR,Talas,38.69,35.55
13.33,85,3.36,92,RU,Lesnoy,59.78,52.13
44.0,11,6.2,0,EG,Aswan,24.09,32.9
28.78,34,9.26,56,KZ,Temir,49.14,57.13
39.08,14,2.36,0,IR,Kashan,33.99,51.44
22.93,100,2.51,88,BR,Alagoinhas,-12.13,-38.42
9.35,100,6.7,75,NO,Roald,62.58,6.12
37.63,44,7.71,0,SA,Umm Lajj,25.02,37.27
31.0,33,4.6,20,IT,Vieste,41.88,16.18
20.43,98,0.51,92,MG,Vangaindrano,-23.35,47.6
15.0,54,5.1,0,SE,Lulea,65.58,22.15
27.03,61,1.36,76,CD,Lodja,-3.52,23.6
18.0,68,2.1,20,BR,Pompeu,-21.05,-48.85
27.0,61,7.2,0,BR,Vila Velha,-3.71,-38.6
19.0,72,2.1,75,MA,Marrakesh,31.63,-7.99
32.88,56,2.41,48,SD,Doka,13.52,35.76
21.13,85,2.51,0,BR,Arenapolis,-14.45,-56.85
19.29,68,3.6,75,PT,Canico,32.63,-16.85
15.18,65,5.31,92,RU,Polunochnoye,60.87,60.43
24.03,100,3.36,88,NG,Kontagora,10.4,5.47
25.0,61,5.1,90,RE,Saint-Leu,-21.15,55.28
34.03,51,2.61,44,IN,Hatod,22.65,75.01
23.71,31,10.0,0,RU,Oktyabrskiy,55.61,37.97
25.0,78,3.1,40,MU,Grand Gaube,-20.01,57.66
25.0,73,6.2,75,SN,Dakar,14.69,-17.45
24.56,64,6.7,40,ES,Puerto del Rosario,28.5,-13.86
36.63,53,3.06,0,IN,Badhni Kalan,30.68,75.29
24.53,88,3.71,92,IN,Periyapatti,11.22,78.15
21.18,53,3.06,0,BR,Alto Araguaia,-17.32,-53.22
27.0,57,4.1,20,TN,Jabinyanah,35.03,10.91
10.63,99,7.86,92,RU,Igra,57.55,53.1
21.13,85,2.51,0,BR,Nortelandia,-14.45,-56.8
25.03,78,6.26,0,MG,Antalaha,-14.9,50.28
30.0,22,5.1,20,IR,Bojnurd,37.47,57.33
7.73,99,3.16,100,NO,Kirkenaer,60.46,12.06
31.53,58,2.16,0,CD,Bandundu,-3.32,17.38
36.78,9,2.66,92,IR,Khash,28.22,61.21
11.46,66,6.7,40,NO,Gravdal,59.79,5.78
13.18,98,1.61,92,RU,Khor,47.88,134.96
28.68,29,1.61,0,IR,Sarab,38.61,44.99
27.63,77,4.51,20,NG,Funtua,11.52,7.31
27.48,68,1.16,0,GQ,Evinayong,1.44,10.55
23.0,25,4.6,0,ZA,Knysna,-34.04,23.05
19.48,25,6.41,0,ZA,Colesberg,-30.72,25.1
23.0,73,3.1,20,ES,Bereda,43.27,-7.54
28.53,100,2.51,20,MV,Hithadhoo,-0.6,73.08
12.53,88,5.71,36,IE,Killybegs,54.63,-8.45
28.0,65,7.2,75,BR,Nossa Senhora das Dores,-10.49,-37.19
26.34,42,3.1,40,RS,Mana,43.52,20.24
3.93,87,0.26,88,GL,Maniitsoq,65.42,-52.9
26.38,42,3.36,0,ZW,Chiredzi,-21.05,31.67
34.88,19,3.51,20,KZ,Shetpe,44.14,52.16
43.78,12,7.31,0,ML,Araouane,18.9,-3.53
28.18,85,3.01,20,CF,Birao,10.3,22.78
15.26,62,10.8,40,NL,Soest,52.17,5.29
12.33,100,2.16,92,RU,Ust-Kulom,61.69,53.69
24.38,82,1.36,80,CD,Kindu,-2.95,25.92
20.63,46,9.01,0,RU,Pechenga,58.89,41.46
29.25,42,5.7,20,SI,Mezica,46.52,14.85
18.13,44,3.41,0,RU,Segezha,63.74,34.31
18.43,42,2.56,0,FI,Lieksa,63.32,30.02
41.98,11,6.91,0,ML,Tessalit,20.2,1.01
27.48,100,6.56,76,MV,Mahibadhoo,3.78,72.97
14.0,82,5.7,0,UY,Maldonado,-34.91,-54.96
11.43,72,1.66,0,CA,Saint-Georges,46.12,-70.67
15.72,87,2.6,20,US,Syracuse,43.05,-76.15
0.73,92,2.41,80,GL,Upernavik,72.79,-56.15
25.43,36,2.06,0,ZM,Chingola,-12.55,27.86
13.18,68,5.71,0,RU,Yar-Sale,66.83,70.83
25.58,36,2.66,0,CD,Kisanga,-11.72,27.4
35.38,26,2.06,0,RU,Kazanskaya,45.41,40.44
22.68,43,1.31,0,RU,Storozhevaya,43.89,41.46
30.53,61,1.31,48,CD,Bongandanga,1.51,21.07
7.0,100,3.6,75,NO,Nikel,69.41,30.21
11.68,87,0.16,48,KZ,Merke,42.87,73.19
27.03,25,2.51,0,BW,Shakawe,-18.36,21.84
25.0,78,3.1,40,MU,Flic en Flac,-20.27,57.36
25.13,100,4.91,80,LR,Robertsport,6.75,-11.37
27.38,31,2.11,36,IR,Shahrud,36.42,54.97
24.18,96,0.96,76,SR,Moengo,5.62,-54.4
8.0,93,2.1,75,NO,Skjervoy,70.03,20.97
20.38,100,2.41,80,AO,Namibe,-15.19,12.15
16.63,93,7.21,100,RU,Krutinka,56.01,71.51
34.53,22,0.96,0,IR,Semnan,35.58,53.39
26.0,27,4.6,0,BW,Pandamatenga,-18.54,25.64
27.68,69,2.81,12,UA,Husyatyn,49.07,26.21
19.58,56,5.21,48,RU,Irtyshskiy,58.33,68.13
25.43,32,0.76,0,AM,Meghri,38.9,46.25
32.0,38,5.1,40,EG,Marsa Matruh,31.35,27.25
24.53,51,3.06,0,ZA,Lavumisa,-27.31,31.88
-1.46,100,12.9,90,AR,Ushuaia,-54.81,-68.31
38.18,50,2.96,0,BF,Djibo,14.1,-1.63
21.0,73,5.7,75,ES,Los Llanos de Aridane,28.66,-17.92
10.43,77,7.71,92,CA,Bonavista,48.65,-53.11
15.38,100,3.21,92,RU,Tevriz,57.51,72.4
29.46,35,2.1,0,ES,Brenes,37.55,-5.87
17.5,62,9.3,40,DE,Bad Laasphe,50.93,8.41
32.0,36,4.0,48,KZ,Taraz,42.89,71.39
33.0,11,6.0,0,KZ,Arys,42.43,68.8
17.0,88,3.6,90,EE,Klooga,59.32,24.25
27.0,83,2.1,90,PH,Toledo,10.38,123.64
36.0,7,4.1,0,TM,Farap,39.18,63.61
30.0,23,3.1,0,AZ,Badamdar,40.34,49.81
42.0,22,5.7,36,SD,Sawakin,19.1,37.33
21.28,59,2.96,0,ZA,Kruisfontein,-34.0,24.73
17.0,77,4.1,75,TR,Emirdag,39.02,31.15
23.43,100,1.11,88,ID,Lamu,0.57,122.3
21.28,64,2.31,0,ZA,Port Alfred,-33.59,26.89
27.78,77,3.26,88,NG,Wukari,7.87,9.78
37.58,50,1.91,8,PK,Adilpur,27.94,69.32
45.0,24,2.1,0,SA,Mecca,21.43,39.83
38.33,28,5.91,64,NE,Bilma,18.69,12.92
14.03,99,2.51,92,RU,Pinega,64.7,43.39
18.73,83,4.31,0,ZA,Plettenberg Bay,-34.05,23.37
21.0,77,2.86,20,PT,Praia da Vitoria,38.73,-27.07
24.28,100,1.61,44,CD,Businga,3.34,20.89
27.0,61,7.2,0,BR,Aquiraz,-3.9,-38.39
18.18,75,0.31,44,RU,Troitsko-Pechorsk,62.71,56.19
21.03,38,8.51,0,RU,Kovernino,57.13,43.81
16.0,44,7.7,8,GB,Coldingham,55.89,-2.16
28.13,82,4.06,8,BR,Camocim,-2.9,-40.84
28.63,78,5.46,0,BR,Itarema,-2.92,-39.92
23.0,18,7.2,0,ZA,Bloemfontein,-29.12,26.22
25.33,55,2.91,0,ET,Ginir,7.14,40.71
29.13,48,1.06,0,DZ,Tigzirt,36.57,4.2
29.78,48,0.41,0,CD,Kasongo-Lunda,-6.48,16.82
25.0,69,2.6,40,ES,Muros,42.77,-9.06
30.0,45,4.6,20,HR,Biograd na Moru,43.94,15.45
24.63,91,1.86,92,CF,Batangafo,7.3,18.29
18.7,68,1.5,1,US,Stow,41.16,-81.44
26.08,78,1.46,100,NG,Bauchi,10.31,9.85
12.05,76,3.6,75,NO,Bronnoysund,65.46,12.2
39.08,33,2.06,20,IN,Mangrol,25.33,76.51
24.18,100,4.21,36,BR,Caravelas,-17.73,-39.27
12.0,71,6.2,20,IS,Hofn,64.25,-15.21
18.0,88,1.21,75,MX,Tala,20.65,-103.7
25.78,100,7.36,68,TZ,Wete,-5.06,39.73
34.38,24,2.51,0,TM,Baherden,38.44,57.43
26.68,77,15.21,12,SO,Bandarbeyla,9.49,50.81
18.88,54,6.71,0,RU,Pudozh,61.81,36.54
16.0,45,6.2,0,FR,Veraval,49.65,0.71
35.38,31,8.46,12,SO,Garowe,8.41,48.48
10.0,87,3.1,75,NO,Sistranda,63.73,8.83
31.0,20,4.1,56,UZ,Panjakent,39.5,67.61
21.99,88,2.6,90,US,Vardo,39.62,-77.74
25.48,100,8.91,0,MG,Sambava,-14.27,50.17
38.78,39,2.56,44,PK,Khanpur,28.65,70.66
3.28,89,0.31,24,PK,Gilgit,35.92,74.31
28.78,25,6.66,0,RU,Piterka,50.68,47.44
28.28,23,2.36,100,ET,Aksum,14.12,38.72
31.0,35,8.2,20,SO,Hargeysa,9.56,44.06
17.43,72,5.81,0,NA,Luderitz,-26.65,15.16
27.03,31,9.61,88,KZ,Atbasar,51.81,68.36
27.78,46,1.86,0,MG,Beroroha,-21.68,45.17
24.0,100,3.31,75,CO,Catalina,8.86,-75.38
11.98,93,5.01,92,SE,Hudiksvall,61.73,17.1
23.88,36,2.96,0,ZW,Zvishavane,-20.32,30.05
24.06,73,3.1,20,ES,Beira,43.2,-8.36
24.18,98,7.01,8,GA,Omboue,-1.57,9.26
34.38,44,6.41,0,ML,Kayes,14.44,-11.44
18.27,82,3.1,40,US,Montevideo,44.94,-95.72
23.63,42,8.16,0,RU,Kamenka,53.19,44.05
15.43,100,3.86,92,EE,Iisaku,59.1,27.31
33.0,46,4.1,0,NE,Tibiri,13.59,7.06
18.38,41,3.31,0,RU,Porosozero,62.72,32.71
24.78,96,2.56,8,GR,Palaikastron,35.2,26.25
19.0,77,6.2,40,LV,Ventspils,57.39,21.56
24.58,40,9.31,24,RU,Vikulovo,55.07,40.96
25.33,94,2.1,90,PH,Lubao,14.94,120.6
28.53,64,2.86,8,AO,Soyo,-6.13,12.37
30.0,42,2.6,75,UA,Orel,47.02,29.78
31.38,46,4.21,0,SD,Kutum,14.2,24.66
20.98,71,1.41,0,CA,Husavik,50.56,-96.99
42.0,6,8.2,0,SA,Riyadh,24.63,46.72
28.0,54,4.6,20,IT,Alghero,40.56,8.32
24.88,29,1.56,0,ZM,Mwinilunga,-11.73,24.43
38.93,16,3.66,36,LY,Sabha,27.03,14.43
17.0,45,6.2,92,FI,Rauma,61.13,21.5
41.63,29,1.86,0,PK,Bhan,26.56,67.72
-2.48,68,1.21,0,AU,Jamestown,-33.21,138.6
40.43,33,3.46,32,PK,Jacobabad,28.29,68.44
26.0,83,2.1,40,NG,George,6.63,3.35
26.93,26,2.96,0,BW,Nokaneng,-19.66,22.19
23.13,69,3.66,0,ES,Lugo,43.01,-7.56
16.78,92,1.91,92,BR,Raul Soares,-20.1,-42.45
21.63,89,5.46,0,MR,Nouakchott,18.08,-15.98
2.03,85,9.51,0,RU,Dikson,73.51,80.55
10.0,71,10.8,75,GB,Lerwick,60.15,-1.15
28.0,58,3.1,75,MZ,Quelimane,-17.88,36.89
26.63,54,4.31,56,KE,Voi,-3.4,38.57
13.08,98,2.86,92,RU,Koygorodok,60.44,51.01
34.53,23,1.91,0,TM,Gazanjyk,39.24,55.52
25.0,69,3.6,75,CD,Kasangulu,-4.59,15.17
16.13,45,6.2,40,NL,Tiel,51.88,5.43
26.0,74,4.1,75,AO,Cabinda,-5.56,12.19
18.08,46,10.66,88,RU,Sovetskiy,56.76,48.47
37.33,29,4.31,0,LY,Awjilah,29.14,21.3
24.77,94,2.6,20,PT,Cascais,38.7,-9.42
31.0,31,7.7,0,PL,Belchatow,51.37,19.36
34.13,20,1.46,0,KZ,Zhanakorgan,43.91,67.25
7.0,100,3.6,75,NO,Bjornevatn,69.67,29.98
16.33,33,5.66,0,ZA,Carnarvon,-30.97,22.13
17.45,36,5.1,8,GB,Ashford,51.43,-0.46
22.0,53,4.1,0,ZA,East London,-33.02,27.91
24.18,96,0.36,64,GF,Camopi,3.17,-52.33
29.0,58,1.5,20,GM,Gunjur,13.18,-16.76
24.23,31,2.56,0,MG,Mananjary,-19.16,46.8
31.0,27,1.0,0,UA,Chervonohryhorivka,47.62,34.52
35.0,8,6.2,0,UZ,Nurota,40.56,65.69
31.68,59,11.06,0,SO,Eyl,7.98,49.82
34.0,13,8.2,0,SY,Yabrud,33.97,36.66
10.98,81,5.36,68,CA,Marystown,47.17,-55.16
22.37,64,2.1,40,MA,Fez,34.03,-5.02
19.53,88,1.11,56,CD,Goma,-1.67,29.23
21.0,94,1.5,0,BR,Serra,-20.13,-40.31
24.13,95,1.21,92,GF,Grand-Santi,4.27,-54.38
24.93,54,5.66,0,BR,Assare,-6.87,-39.88
30.0,33,4.0,0,UA,Yahotyn,50.28,31.76
22.98,71,1.61,36,TZ,Mugumu,-1.84,34.67
22.78,58,4.11,20,BR,Campina Verde,-19.54,-49.49
30.0,33,4.6,75,GR,Saint George,39.45,22.34
23.63,21,6.56,0,ZA,Kathu,-27.7,23.05
5.0,93,5.7,90,GL,Nuuk,64.17,-51.74
27.83,87,6.66,44,TZ,Kilindoni,-7.91,39.67
16.0,87,2.0,20,RU,Artyom,43.36,132.19
16.0,87,2.1,0,BR,Florianopolis,-27.6,-48.55
2.68,73,8.11,0,AR,Mar del Plata,-46.43,-67.52
28.0,39,5.0,40,UA,Mlyniv,50.51,25.61
22.78,42,8.61,0,RU,Pervomaysk,54.87,43.81
35.68,17,4.16,0,UZ,Gazli,40.13,63.45
26.08,86,1.86,0,BR,Paragominas,-3.0,-47.35
26.43,98,1.91,0,BR,Maracacume,-2.04,-45.96
8.0,87,4.1,75,NO,Honningsvag,70.98,25.97
25.68,97,5.01,80,TG,Amlame,7.47,0.9
29.0,70,4.1,20,YT,Mtsamboro,-12.7,45.07
27.0,69,3.6,75,BR,Cabedelo,-6.97,-34.84
40.0,26,10.3,0,QA,Doha,25.29,51.53
17.0,88,1.36,0,BR,Vilhena,-12.74,-60.15
37.23,42,6.2,0,AE,Manama,25.33,56.02
18.0,48,9.8,0,ZA,Cape Town,-33.93,18.42
22.28,61,6.61,32,RU,Kuvshinovo,57.03,34.18
19.48,46,10.16,0,RU,Imeni Babushkina,59.76,43.13
31.0,23,3.1,8,BG,Kochevo,42.1,24.92
26.28,93,3.71,64,TD,Beboto,8.27,16.94
15.28,92,6.11,0,UY,Rocha,-34.48,-54.34
26.53,15,3.51,92,YE,Aras,14.28,44.38
5.0,74,2.1,75,GL,Qasigiannguit,68.82,-51.19
18.28,76,2.26,8,BR,Jardim,-21.48,-56.15
30.0,42,5.1,20,IT,Siniscola,40.57,9.69
23.78,93,5.36,0,CV,Sao Filipe,14.9,-24.5
23.42,72,8.2,75,IT,Mola di Bari,41.06,17.09
20.18,64,4.66,80,AR,Ceres,-29.88,-61.95
27.18,100,3.66,12,MV,Kudahuvadhoo,2.67,72.89
26.93,98,3.26,20,CF,Ouadda,8.07,22.4
28.68,38,2.21,8,MZ,Cuamba,-14.8,36.54
13.93,66,4.76,0,RU,Naryan-Mar,67.67,53.09
21.48,45,7.96,32,RU,Uporovo,56.31,66.27
23.53,46,7.71,0,RU,Pachelma,53.33,43.32
19.93,87,1.86,0,BR,Bom Jesus do Itabapoana,-21.13,-41.68
28.0,61,2.6,20,GR,Siva,35.21,25.04
25.43,52,4.66,0,MG,Beloha,-25.17,45.06
29.43,40,1.96,8,IR,Kalaleh,37.38,55.49
21.0,64,8.7,40,BR,Rio Grande,-32.03,-52.1
18.93,88,1.11,0,BR,Tamandare,-8.28,-70.75
26.68,92,4.81,48,TD,Lere,9.66,14.23
21.0,94,1.5,0,BR,Guarapari,-20.67,-40.5
29.0,79,2.1,40,BR,Mazagao,-0.12,-51.29
30.33,65,6.7,20,FR,Limoux,43.05,2.22
27.48,68,1.16,0,GQ,Aconibe,1.29,10.94
30.45,43,5.1,0,HU,Kengyel,47.09,20.34
24.23,38,8.2,40,DE,Bad Windsheim,49.5,10.42
29.58,28,5.66,8,KZ,Atasu,48.68,71.64
23.98,96,3.66,80,IN,Karad,17.29,74.18
15.0,87,4.1,0,UY,Durazno,-33.38,-56.52
16.0,44,8.2,40,NL,Doorn,52.03,5.35
28.4,61,4.56,40,IT,Tarquinia,42.25,11.76
27.63,91,2.81,0,BR,Carutapera,-1.2,-46.02
10.0,87,6.7,90,IS,Eyrarbakki,63.86,-21.15
28.0,58,5.1,20,ES,Manacor,39.57,3.21
18.38,91,0.26,32,IN,Ginda,30.69,78.49
28.03,65,4.01,12,UA,Ovruch,51.33,28.8
21.38,29,2.66,0,NA,Karasburg,-28.01,18.75
18.93,43,7.96,80,RU,Pizhma,57.86,47.12
17.28,80,5.56,0,BR,Ijui,-28.39,-53.91
27.48,23,6.86,0,KZ,Chingirlau,51.09,54.08
23.83,90,0.96,92,PH,Luba,17.32,120.7
30.0,40,11.8,40,TR,Goksun,38.02,36.5
33.78,54,7.76,0,ML,Sikasso,11.32,-5.68
